OBJECTID,Country Name,"Oral, Head, & Neck Surgeons","Oral, Head & Neck Surgeons per Capita",Information Sources,Shape__Area,Shape__Length
185,Lesotho,,,,40491608964.3047,843541.076330459
186,Liechtenstein,,,,381233773.181641,90761.6137982202
187,Lithuania,,,,200559662040.393,2380964.97307983
188,Luxembourg,,,,6180154977.14136,371156.206568709
189,Madeira,,,,1096599440.37256,145874.055246202
190,Martinique,,,,1233619134.20703,156467.957562908
191,Mauritania,,,,1189633124816.56,6032155.18045252
192,Mayotte,,,,472193327.820313,121540.005571565
193,Micronesia,,,,526428516.751953,116374.210260068
194,Moldova,,,,72945020283.332,1689004.60457041
195,Monaco,,,,17775133.8388672,17837.8168981419
196,Mongolia,,,,3349049574799.32,10672328.2259243
197,Montenegro,,,,25634904800.9736,936956.821952057
198,Montserrat,,,,123434843.782227,43381.4590141711
199,Morocco,,,,889439523484.073,6663369.11109894
200,Nauru,,,,27348138.8253784,19345.2503363325
201,Netherlands,,,,93098740502.8235,3426091.25430935
202,New Caledonia,,,,21824628878.3008,1445268.77791492
203,Niger,,,,1308885905642.25,5776083.77099048
204,Norfolk Island,,,,64320610.7890625,30843.1565527112
205,North Korea,,,,209538092938.82,3380628.2940297
206,North Macedonia,,,,45573328149.1123,904807.292782286
207,Northern Mariana Islands,,,,255750705.724609,103603.446202098
208,Oman,,,,354582317875.83,3741810.98385004
209,Pakistan,,,,1177214531352.37,8455065.85580723
210,Palau,,,,389170518.837891,123778.131675627
211,Palestinian Territory,,,,8685590466.47168,582638.325416398
212,Pitcairn,,,,58358077.1679688,39655.2810913344
213,Poland,,,,826761390364.543,4730098.73708236
214,Portugal,,,,149911830072.298,2509688.012489
215,Puerto Rico,,,,10193714176.7686,539540.201391557
216,Réunion,,,,3051513360.17676,207640.840258852
217,Russian Federation,,,,83047113651798,236861435.472725
218,Saba,,,,15655131.109375,14917.5702673071
219,Saint Barthelemy,,,,25752758.4716797,26321.8898385876
220,Saint Eustatius,,,,26472643.4980469,22251.2788694706
221,Saint Helena,,,,141960031.805908,47317.3229117434
222,Saint Kitts and Nevis,,,,215827358.845703,75716.6326157409
223,Saint Lucia,,,,678176936.668945,108487.045912072
224,Saint Martin,,,,60252322.3710938,46259.9784703041
225,Saint Pierre and Miquelon,,,,547270420.925781,187103.354404904
226,Saint Vincent and the Grenadines,,,,363411668.5625,73633.5232671551
227,San Marino,,,,115501525.08252,41133.5895754112
228,Sao Tome and Principe,,,,1149941430.97437,170140.743082863
229,Serbia,,,,170659401636.73,2493555.04988396
230,Seychelles,,,,385499546.712646,151451.747993881
231,Sint Maarten,,,,47514273.1474609,35768.8215596337
232,Somalia,,,,650145541653.101,5473330.7175118
233,South Georgia and South Sandwich Islands,,,,11001854212.3184,968978.142278366
234,Suriname,,,,146759021371.791,1908995.37702312
235,Svalbard,,,,1679098645947.17,27455050.4285722
236,Switzerland,,,,88520378114.9395,2033103.60486167
237,Tajikistan,,,,233166382213.391,4169855.10259344
238,Timor-Leste,,,,15503955312.0576,862363.285781015
239,Tokelau,,,,7610014.5625,12227.0269352794
240,Trinidad and Tobago,,,,5214102920.9248,491055.806628978
241,Tunisia,,,,227520484128.961,3094322.36559098
242,Turkmenistan,,,,926300508917.98,5508254.26018042
243,Turks and Caicos Islands,,,,348497007.289063,138530.163165839
244,Tuvalu,,,,29733759.6113281,45161.1513617665
245,Ukraine,,,,1390522802441.24,10308615.4478956
246,United Arab Emirates,,,,84579971553.7861,1943047.28212608
247,United States Minor Outlying Islands,,,,42236952.2187805,54827.5957234228
248,US Virgin Islands,,,,334501794.101563,139207.748667212
249,Uzbekistan,,,,804517741699.664,7560379.95093933
250,Vanuatu,,,,13392615147.3262,1870382.47679859
251,Vatican City,,,,1019344.04345703,3994.23416242122
252,Wallis and Futuna,,,,171168963.898438,79180.8151345023
253,Yemen,,,,493572658271.07,3840309.35223261
