iso3,country,population,PAPs,PAP density,NPAPs,NPAP density,PAPs (2016),PAP density (2016),Nurses (2016),Nurse density (2016)
CMR,Cameroon,271.98628,,,,,,,,
COD,Democratic Republic of the Congo,952.41,90.0,0.0944971178379059,756.0,0.7937757898384099,98.0,0.1268329299701036,963.0,1.2463276689919371
COG,Republic of the Congo,58.35806,,,,,,,,
COK,Cook Islands,0.17564,1.0,5.693463903438852,,,1.0,4.761904761904762,0.0,0.0
COL,Colombia,515.13,4148.0,8.05233630345738,,,3600.0,7.464388645835493,0.0,0.0
CRI,Costa Rica,51.82,353.0,6.8120416827479735,,,397.0,8.257071547420965,0.0,0.0
CUB,Cuba,113.06,1452.0,12.842738369007606,,,1786.0,15.680421422300263,,
CYN,Northern Cyprus,,,,,,,,,
CYP,Cyprus,12.23,207.0,16.925592804578905,,,162.0,13.905579399141631,0.0,0.0
CZE,Czech Republic,107.23,2500.0,23.314370978271004,,,2121.0,20.11761358247178,0.0,0.0
DEU,Germany,829.89,31014.0,37.37121787224813,1400.0,1.6869705623636868,25000.0,30.9835415427325,,
DJI,Djibouti,11.05557,,,,,,,,
DNK,Denmark,58.72,1204.0,20.50408719346049,2200.0,37.46594005449592,1925.0,33.956606103369204,1150.0,20.285764685129653
DOM,Dominican Republic,110.56,1167.0,10.55535455861071,,,800.0,7.598784194528875,0.0,0.0
DZA,Algeria,453.5,500.0,1.1025358324145536,2500.0,5.512679162072767,1550.0,3.9076286996420095,3500.0,8.823677708869056
ECU,Ecuador,181.13,500.0,2.7604482968034008,,,290.0,1.796333002973241,0.0,0.0
EGY,Egypt,1061.57,8436.0,7.946720423523649,,,5500.0,6.010403461992394,0.0,0.0
ERI,Eritrea,35.46421,0.0,0.0,98.0,2.7633493034244947,1.0,0.0191277735271614,56.0,1.0711553175210404
ESP,Spain,472.88,8000.0,16.917611233293858,172.0,0.3637286415158179,7500.0,16.261220241966956,,
EST,Estonia,13.21,340.0,25.73807721423164,,,287.0,21.85833968012186,,
ETH,Ethiopia,1208.13,106.0,0.087738902270451,4545.833333333334,3.762702137463132,51.0,0.0513124930828747,350.0,0.3521445603726695
FIN,Finland,55.42,903.0,16.293756766510285,3000.0,54.13208228076507,1100.0,19.98546511627907,3000.0,54.50581395348837
FJI,Fiji,9.09,23.0,2.5302530253025304,,,28.0,3.1390134529147984,0.0,0.0
FLK,Falkland Islands / Malvinas,,,,,,,,,
FRA,France,677.0,11524.0,17.022156573116693,10843.0,16.016248153618907,9700.0,15.063281310660765,6000.0,9.317493594223151
FSM,Federated States of Micronesia,1.17,3.0,2.5641025641025643,2.0,1.7094017094017095,5.0,4.807692307692308,9.0,8.653846153846153
GAB,Gabon,23.32,36.0,1.5437392795883362,90.0,3.859348198970841,22.0,1.2753623188405796,,
GBR,United Kingdom,677.69,9645.0,14.232171051660789,173.0,0.25527896235742,11549.0,17.845664132517463,0.0,0.0
GEO,Georgia,37.0,500.0,13.513513513513514,,,500.0,12.5,0.0,0.0
GHA,Ghana,323.95,,,824.0,2.5436024077789785,110.0,0.4013133892739876,640.0,2.334914264866837
GIN,Guinea,135.31906,,,,,,,,
GMB,The Gambia,25.58,3.0,0.1172791243158717,63.0,2.462861610633307,2.0,0.1004520341536916,35.0,1.7579105976896032
GNB,Guinea-Bissau,20.60721,,,,,,,,
GNQ,Equatorial Guinea,16.34466,,,,,,,,
GRC,Greece,105.83,1000.0,9.449116507606538,1050.0,9.921572332986866,1300.0,11.866727521679598,0.0,0.0
GRL,Greenland,0.56653,,,,,,,,
GTM,Guatemala,174.85,554.0,3.168430082928224,,,311.0,1.902955393746558,,
GUY,Guyana,7.94,16.0,2.0151133501259446,25.0,3.1486146095717884,25.0,3.259452411994785,30.0,3.911342894393742
HND,Honduras,102.21,200.0,1.9567556990509736,90.0,0.8805400645729381,180.0,2.2291021671826625,0.0,0.0
HRV,Croatia,40.03,676.3333333333334,16.89566158714298,1000.0,24.981264051961027,870.0,20.5188679245283,0.0,0.0
HTI,Haiti,114.47569,,,,,,,,
HUN,Hungary,96.9,1857.0,19.1640866873065,600.0,6.191950464396284,900.0,9.1324200913242,0.0,0.0
IDN,Indonesia,2791.35,4134.0,1.4810038153581602,4000.0,1.4329983699643545,1800.0,0.6988554301066919,150.0,0.0582379525088909
IND,India,14066.32,60000.0,4.265507965125207,,,16500.0,1.2692307692307692,0.0,0.0
IRL,Ireland,50.33165,,,,,,,,
IRN,Iran,860.23,6000.0,6.97487881148065,7800.0,9.067342454924846,3800.0,4.803498969775879,0.0,0.0
